ich	I
Schrank	1. the closet. 2. the cupboard
berühmt	famous
Leitung	the cable, the wiring, the pipes
irren	to err
meistens	mostly, usually
Start	the start, the launch, the takeoff
Ursache	the reason, the cause
äußerst	extremely
Figur	1. the figure 2. the physique
Rauch	the smoke (plural rare)
Sand	the sand (plural rare)
anstatt	instead of (1)
Stellung	1. the job position. 2. the (bodily) position, the posture. 3. the rank (no plural). 4. the stance
fürchten	to fear (2)
geraten	1. to get (into a situation) 2. to turn out
deutlich	distinct, distinctly
brav	1. well-behaved (of children). 2. honest, dowdy
aufwachen	to wake up
Theorie	the theory
möglicherweise	possibly (2)
umlaufen	to circulate
Arbeiter	the worker
zurückkehren	to turn back
rosa	pink
Lärm	the noise, the noisiness (no plural)
Mittagessen	the lunch, the noon meal
Sitz	the seat (1)
neugierig	curious
verletzen	to injure
Gesundheit	the health (no plural)
akzeptieren	to accept
negativ	negative
Eile	the hurry, the rush (no plural)
beantworten	to reply
Sicht	1. the sight. 2. the vision. 3. the visibility
daneben	beside it
Unterstützung	the support (abstract, as in, e.g., financial support)
Ratte	the rat
gegenseitig	mutual
Gedächtnis	the memory (as in the mental capacity to remember things)
Auftritt	the appearance (on stage)
Donnerstag	the Thursday
Anteil	the share (not necessarily the financial sort), the fraction
Unterhaltung	1. the entertainment. 2. the conversation
zulassen	to admit, to allow
bestehen	1. to exist. 2. to pass (e.g., an exam)
Gepäck	the luggage (no plural)
sicherlich	certainly (2)
Bahnhof	the train station
Kreuz	the cross
umdrehen	to turn over
gründen	to found smth.
Text	the text
taub	deaf
Jugend	the youth (no plural)
berichten	to report, to relate, to give account
Hubschrauber	the helicopter
Realität	the reality (1)
Zeuge	the male witness
innen	inside
Verabredung	1. the appointment. 2. the agreement
clever	clever
Stimmung	the mood, the atmosphere
Tasse	the cup
Zweck	the purpose
eng	narrow, tight
Urteil	the judgment
zwingen	to force, to coerce
Manager	the manager
per	by, per
Stärke	the strength
Schulter	the shoulder
Krebs	1. the cancer (no plural). 2. the crab
bequem	comfortable (1)
ausziehen	1. to move out. 2. to take off (a piece of clothing)
Einladung	the invitation
Gerät	the device
schenken	to give a gift
Information	the information (2)
Wut	the anger, the rage (no plural)
Farm	the farm (2)
bestellen	to order
Jahrhundert	the century
Virus	the virus
Humor	the humour (no plural)
Geräusch	the noise, the sound
kompliziert	complicated
Japan	Japan
wiederholen	to repeat
Suppe	the soup
konzentrieren	to concentrate
mittel	average, medium (adj.)
Schokolade	the chocolate
Miete	the rent
Pizza	the pizza
entfernen	to remove
Gegner	the opponent, the enemy
Feind	the enemy, the foe
behaupten	to claim
Basis	the basis
Stahl	the steel
Viertel	the quarter
real	real
erscheinen	to appear
sparen	to save (e.g., money)
Einstellung	1. the attitude. 2. the setting
hässlich	ugly
Verdacht	the suspicion
elf	eleven
Krone	the crown
albern	silly
Kindheit	the childhood
Hügel	the hill
unglücklich	1. unhappy. 2. unfortunate
weitergehen	to go on, to continue
Fan	the fan (as in a supporter or an aficionado)
Museum	the museum
prüfen	to test
Nation	the nation
anschauen	to look at (1)
Einkauf	the shopping
weich	soft
einkaufen	to shop
Ausweis	the identity card
betreten	to enter, to tread
Käse	the cheese
rauskommen	to come out (2)
offiziell	official
Spanisch	Spanish (language)
spanisch	Spanish (adj.)
Kreis	1. the circle. 2. the county (e.g., Los Angeles county)
überfallen	to mug, to attack
Mauer	the (stand-alone) wall
verabschieden	to say goodbye
Puppe	the doll
Universität	the university
September	the September (plural rare)
Schild	the sign, the signpost
Schild	the shield (protection device)
lecker	delicious
steuern	to steer
Klavier	the piano
Belohnung	the reward
Weihnachtsmann	Santa Claus
warnen	to warn
Küste	the coast
eindeutig	clear, unambiguous
aussteigen	to get off (a vehicle)
Warnung	the warning
anbieten	to offer
Patient	the patient
wenden	to turn
Dusche	the shower (bathing)
gewohnt	usual
nass	wet
senden	to send, to transmit
bestätigen	to confirm
Zugang	the access
Schreibtisch	the desk
Hitze	the heat (no plural)
Kühlschrank	the refrigerator
Hammer	the hammer
Fieber	the fever
Koch	the male cook
Material	the material
Juli	the July (plural rare)
Behandlung	the treatment
April	the April (plural rare)
unheimlich	eerie, uncanny, immensely
Unterricht	the lesson (plural rare)
Verlust	the loss
Regisseur	the film director
Stress	the stress (no plural)
Konto	the account
zugeben	to admit, to acknowledge, to concede, to confess
Modell	the model
Charakter	the character
jener	that (pronoun; usually in written/formal context) (three forms)
Religion	the religion
Witwe	the widow
Stiefel	the boot
Sport	the sports, athletics (no plural)
hinsetzen	1. to seat (someone). 2. to set (something) down
Apparat	the apparatus, the appliance
weggehen	to go away
rund	round
Stift	the writing utensil
Versicherung	the insurance
unterstützen	to support (abstract, e.g., financial support, to support a political party)
Ankunft	the arrival
Schock	the shock (noun)
Hafen	the harbour
Konzert	the concert
besitzen	to own
Störung	the disturbance
Gewicht	the weight
Widerstand	1. the resistance 2. the resistor
Russland	Russia
August	the August (plural rare)
Paradies	the paradise
Turm	the tower
leiten	1. to manage, to lead. 2. to guide, to conduct
Trainer	the coach
pünktlich	punctual, on time
Pfarrer	the pastor
Quelle	the source
wecken	to wake up someone
Esel	the donkey
telefonieren	to talk on the telephone
brennen	to burn
Kopfschmerz	the headache (usually plural)
Spanien	Spain
abnehmen	1. to take (something) off 2. to drop, to decline 3. to lose weight
verwenden	to use (3)
sammeln	to collect
vorbereiten	to prepare
Roman	the novel
Technik	1. the technique 2. the technology
üben	to practise (e.g., a musical instrument)
Entfernung	1. the distance (used for long distances) 2. the removal
grausam	gruesome, cruel
Werbung	the advertising
Empfang	the greeting, the reception
Führung	the guided tour
schieben	to push
Kunde	the male customer
Wäsche	the laundry
Führerschein	the driving license
blasen	to blow
Rad	the wheel, the bike
Truppe	1. the combat squad 2. the troupe or (acting, dancing) company
studieren	to study
einzig	single, only
schmutzig	dirty
Einfluss	the influence
Verdienst	the income, the earnings
Verdienst	the merit
Satz	the sentence
Dutzend	the dozen
liefern	to deliver
Zorn	the anger (no plural)
extrem	extreme
Antrag	the proposal, the application
Bau	1. the construction (physical; of, e.g., a house; no plural). 2. the structure, the organisation (e.g., of a play; no plural). 3. the build (of a body; no plural). 4. the building
Bau	the den (of animals)
freiwillig	voluntary
einladen	to invite
Bibel	the bible
Phase	the phase
hell	1. bright 2. light (colour)
Wille	the will (plural rare)
bereuen	to regret, to rue
Netz	the net, the web
Zentrum	the centre
Huhn	the hen
Ergebnis	the result
Blume	the flower
Uni	the university (colloquial)
Atmosphäre	the atmosphere
beschreiben	to describe
Abenteuer	the adventure
decken	to lay (a table)
Abschied	the farewell
Minister	the minister
sozusagen	so to speak
Gemeinde	1. the municipality, the township.  2. the congregation.
abgeben	to hand in
Verkehr	the traffic (no plural)
Badezimmer	the bathroom, the shower room
deutsch	German (adj.)
Deutsch	German language
Steuer	the steering wheel, the rudder
Steuer	the tax
Kanal	the channel, the canal
Schauspielerin	the actress
Ausdruck	the expression
Bart	the beard
doppelt	double
leihen	1. to lend (physical, e.g., money; figurative, e.g., a hand). 2. to borrow
Schmuck	the jewelry (no plural)
Italien	Italy
verschwenden	to waste
einsteigen	to get on or in a vehicle
darunter	under it
mächtig	mighty, powerful
Fahrrad	the bicycle
erheben	to raise
höchstens	at most
leeren	to empty
Jude	the male Jew
trocken	dry (adj.)
Gewinn	the gain
Schuh	the shoe
Teller	the plate
Frühling	the spring (season)
heulen	to howl, to cry
begrüßen	to greet
herrlich	splendid
umziehen	to move, to change residence
Appetit	the appetite (no plural)
bilden	to form
Begriff	1. the concept. 2. the term (as in a word)
großzügig	generous
Autor	the author
Mittwoch	the Wednesday
Maus	the mouse
Fledermaus	the bat (animal)
Jäger	the hunter
Aussicht	the view
vermeiden	to avoid
gewöhnlich	usually
Oktober	the October (plural rare)
Kutsche	the horse carriage
stürzen	to fall, to plunge
Hai	the shark
reißen	to rip, to tear
Tagebuch	the diary
Sekretärin	the female secretary
derselbe	the same (three forms)
außen	outside, external (adj.)
klappen	1. to flap, to fold 2.to work out
duschen	to shower
Mitarbeiter	the staff member
Laune	the mood
reingehen	to go in (2)
verbergen	to hide (something)
informieren	to inform (+acc.)
geradeaus	straight ahead
Hinweis	the hint, the tip
Gitarre	the guitar
typisch	typical
kehren	to sweep
Wolle	the wool (no plural)
Cola	the cola
Platte	the plate, the platter, the panel
Heirat	the wedding (1)
Zuschauer	the viewer
Gegenwart	the present time (no plural)
Juni	the June (plural rare)
Lohn	the wages, the pay, the salary
Bär	the bear
schämen	to shame
Tal	the valley
Salz	the salt
Vorteil	the advantage
unhöflich	impolite
informiert	informed
Nebel	the mist
Psychiater	the psychiatrist
Beginn	the beginning (no plural)
Affe	the ape, the monkey
Toast	the toast (heated bread)
Scheibe	1. the disc 2. the slice
Bibliothek	the library
Tropfen	the drop of liquid
schüchtern	shy
verderben	to spoil, to pollute
Aufzug	the lift, the elevator
tropfen	to drip
überraschen	to surprise
Ozean	the ocean (1)
Durst	the thirst (no plural)
malen	to paint (1)
Lampe	the lamp
Café	the café
Musiker	the male musician
fischen	to fish (2)
Ausbildung	the job training, the education
Geschwindigkeit	the velocity, the speed
schmecken	to taste
Ehefrau	the wife
Daumen	the thumb
verlobt	engaged
begreifen	to grasp (mentally), to understand
Fahrzeug	the vehicle
Ferien	the vacation (plural only) (usually school vacation)
notwendig	necessary (2)
anhören	to listen
Personal	the staff, the personnel (no plural)
Besucher	the visitor
Motorrad	the motorcycle
Käfig	the cage
Generation	the generation
besetzt	occupied (e.g., a seat)
romantisch	romantic
Ausgang	the exit of a building
ankommen	to arrive
baden	to swim, to bathe
zwanzig	twenty
Zaun	the fence
Fantasie	the imagination
Garage	the garage
Brieftasche	the wallet (1)
Indien	India
sanft	gentle, soft
Unterschrift	the signature
Anzeige	the newspaper ad
Abschluss	the completion, the degree (education)
riesig	huge
beliebt	popular, well-loved
bedanken	to express thanks
Partei	the political party
Eingang	the entrance to a building
diskutieren	to discuss (2)
planen	1. to plan.  2. to intend (to do something)
grob	coarse, uncouth
Zone	the zone
Seife	the soap
Oper	the opera
Service	the service (no plural)
intelligent	intelligent
ausmachen	1. to turn off, to extinguish 2. to come to, to constitute
fällen	to fell
existieren	to exist
lehren	to teach (in all senses of the word)
Saft	the juice
Aktion	the action
Teppich	the carpet, the rug
Leine	the leash
Umgebung	the surroundings
Profi	the pro
Handel	the trade (no plural)
einfallen	to come to mind
Fleck	the spot
Leistung	the achievement
glatt	smooth
billig	cheap
Unterwäsche	the underwear
fabelhaft	fabulous
aufmerksam	attentive
Kultur	the culture
Tradition	the tradition
Mannschaft	the (sport) team, the crew
Bewusstsein	the consciousness (no plural)
auftauchen	to surface
Rettung	the rescue
ordentlich	orderly, proper
Alptraum	the nightmare
allzu	all too
Objekt	the object
ausrichten	1. to pass on (a message). 2. to align
Stirn	the forehead
Technologie	the technology (exact cognate with English)
genial	brilliant
Butter	the butter (no plural)
Krawatte	the tie (1)
Fliege	1. the fly (insect). 2. the bow tie
Schmetterling	the butterfly
Spinne	the spider
Käfer	the beetle
Marienkäfer	the ladybird beetle
Interview	the interview
füllen	to fill
mitbringen	to bring along
Parkplatz	the parking space, the parking lot
Symbol	the symbol
erschrecken	to scare
Marke	the mark (of a product)
herzlich	warm, hearty
November	the November (plural rare)
Tragödie	the tragedy
Vergleich	the comparison
ansonsten	otherwise
Saal	the hall (big room)
Strecke	1. the distance 2. the route
widerlich	revolting
angeln	to fish (1)
Gedicht	the poem
Krise	the crisis
Handtuch	the towel
Schriftsteller	the writer
Experiment	the experiment
Zelt	the tent
Zettel	the piece of paper, the docket
Verständnis	the understanding
Experte	the male expert
rechnen	to calculate (2)
Kostüm	1.the costume 2. the (women's) suit
faul	1. foul, rotten 2. lazy
Motiv	the motif
chinesisch	Chinese (adjective)
unterbrechen	to interrupt
löschen	to extinguish
Dezember	the December (plural rare)
Kanada	Canada
Prüfung	the exam
breit	wide, broad
grüßen	to greet, to say hello
rausgehen	to pop outside (colloquial)
Ereignis	the event, the occurrence, the incidence
Kater	1. the male cat 2. the hangover
Kofferraum	the luggage trunk, the boot
Futter	the animal feed
Kellner	the waiter
Verhandlung	1. the negotiation. 2. the trial
dünn	thin
Telefonnummer	the telephone number
hinauf	up
Reis	the rice (no plural)
Brett	the board, the plank
Internet	the internet (no plural)
beherrschen	to control
sichern	to secure
März	the March (plural rare)
Rand	the edge
Märchen	the fairy tale
betrügen	to deceive
beißen	to bite
Kabel	the cable, the wire
Summe	the sum
höflich	polite
eröffnen	to open (in the sense of a grand opening), to disclose
ausgeben	to spend (money)
lediglich	merely
Amt	1. the bureau, the department. 2. the office (as in "to run for office")
Schnaps	the schnapps, the hard liquor
Blatt	the leaf, the piece of paper
Golf	the golf (no plural)
Pfeife	the pipe
Zahnarzt	the dentist
ersetzen	to replace
Reiter	the horseback rider
klingeln	to ring
Erwachsene	the female adult
Erwachsene	the male adult
Serie	the TV series
Lautsprecher	the loudspeaker
Kombination	the combination
Verspätung	the delay
Temperatur	the temperature
menschlich	human (adj.)
Forschung	the research
Kollege	the male colleague
rückwärts	backwards
gemütlich	cosy
Wettbewerb	the contest
Enkel	the grandson, the grandchild
nutzlos	useless
Couch	the couch
Sofa	the sofa
russisch	Russian (adj.)
Gehalt	the salary
vertreten	1. to represent. 2. to substitute
Mutti	the mom
Saison	the season (as in, e.g., the football season, or the travel season)
Wohnzimmer	the living room
putzen	to clean
Republik	the republic
Eimer	the bucket
Ufer	the bank (of a river, etc.)
Bevölkerung	the population
Persönlichkeit	the personality
Schneider	the tailor
bedienen	to serve (guests)
Villa	the villa
entdecken	to discover
solcher	such (three forms)
gelangen	to attain
Sammlung	the collection
Stamm	1. the (tree) trunk 2. the tribe
Ansicht	the opinion (1)
Tankstelle	the petrol station
zuständig	responsible (in the sense of being part of a person's or an agency's function)
Akt	1. the act (of an opera, etc.) 2. the nude (in art)
Zahn	the tooth
Brand	1. the fire. 2 . the blaze, the burning. 3. the burning material (for heating). 4. the baking (of clay and ceramic)
zurückgehen	to go back
Bauer	the farmer (1)
privat	private
Demokratie	the democracy
Therapie	the therapy
hinlegen	to lie down
Rezept	the recipe
Produktion	the production
Landung	the landing
Vertreter	the representative
kotzen	to puke, to throw up
Nachbar	the male neighbour
vollständig	complete
frech	cheeky
anlegen	1. to invest. 2. to place (something on someone). 3. to put on (clothes, jewellery, etc.). 4. to lay out (e.g., a garden). 5. to aim (a weapon on someone)
Abstand	the distance (used for short distances)
Jury	the jury
vorhaben	to intend (to do something)
Welle	the wave
Kuba	Cuba
enttäuschen	to disappoint
ärgern	to annoy
Flur	the open field
Flur	the hall, the corridor
Ausnahme	the exception
überfahren	to run over
Rasen	the lawn
Lkw	the truck (colloquial)
Schach	the chess (no plural)
Steak	the steak
Nichte	the niece
rasen	to race
Umschlag	the cover
vergangen	past (adj.)
Kaninchen	the rabbit
Versammlung	the assembly, the meeting
geschieden	divorced
Pfad	the path
klagen	to moan, to complain
Ausland	the foreign land (no plural)
Datum	the date
Magazin	the magazine
Kompliment	the compliment
Januar	the January (plural rare)
Fähigkeit	the ability
Spaziergang	the walk
mitteilen	to convey (+dat.)
Japaner	the Japanese (person)
Gürtel	the belt
Zigarre	the cigar
rasch	quick
marschieren	to march
wegnehmen	to take away
Salat	the salad
Krankenschwester	the nurse
Mode	the fashion
Erfindung	the invention
übernachten	to stay over night
Trinkgeld	the tip
Fahne	the flag
Erzähler	the male narrator
Schuppen	the shelter, the shed
Münze	the coin
Paket	the parcel
zurückbringen	to bring back
Diebstahl	the theft
Wien	Vienna
einnehmen	to take (medicine/food)
versichert	insured
häufig	frequently
Donner	the thunder (no plural)
Herbst	the fall, autumn
Betrieb	the company, the business
Möbel	the furniture
Ente	the duck
füttern	to feed pets
Weltkrieg	the world war
Wurm	the worm
Mütze	the beanie, the winter cap
befragen	to question (e.g., a suspect), to interrogate, to consult
bremsen	to brake
Neffe	the nephew
hauptsächlich	mainly (1)
Studium	the studies, the scholastics
Produkt	the product
Eisen	the iron (a type of metal) (no plural)
Bude	the outdoor booth, the stall, the stand, the hut
Halloween	the Halloween
Anlage	the facility
verbessern	to improve (2)
Kasse	the till, the cash register
Australien	Australia
Fußball	the foot ball
übertragen	to transmit
Bekannte	the acquaintance
zittern	to tremble
Politiker	the politician
Tüte	the bag
Schein	1. the banknote. 2. the certificate. 3. the appearance
Liter	the liter
Friseur	the male hairdresser
Diskussion	the discussion
Anzahl	the quantity (for countable objects), the count (no plural)
Vati	the dad
Kissen	the pillow
Werkstatt	the workshop
ausdrücken	to express (1)
besoffen	drunk, wasted (colloquial)
Konferenz	the conference
ohnehin	anyway (1)
verlaufen	to proceed
Ausflug	the excursion
Assistent	the assistant
meist	most
Bargeld	the cash (no plural)
erobern	to conquer
Gemälde	the painting
Gegensatz	the contrast (as in difference)
grau	grey
andererseits	on the other hand
unterrichten	1. to give lessons, to instruct. 2. to inform, to brief
Wirtschaft	the economy
Anlass	the occasion
rasieren	to shave (someone)
Rang	the rank
unbekannt	unknown
Zentimeter	the centimeter (no plural)
begegnen	to encounter, to meet (by chance)
keineswegs	by no means
überreden	to persuade
aushalten	to endure
Bach	the stream
Hahn	the rooster
Sänger	the male singer
Verwandte	the male relative
Rente	1. the pension (e.g., old-age, disability). 2. the annuity (finance)
Stall	the stable
Verwandte	the female relative
Länge	the length
Missverständnis	the misunderstanding
Haltung	the attitude
Medium	the media (singular rare)
Frisur	the hairstyle
Zeugin	the female witness
Eifersucht	the jealousy (no plural)
Honig	the honey
empfinden	to feel (emotionally)
Irre	the male lunatic (colloquial)
Detektiv	the detective
harmlos	harmless
Kleingeld	the loose change (as in money, no plural)
Polen	Poland
hilfreich	helpful
empfehlen	to recommend
fremd	foreign, strange, unfamiliar
Werkzeug	the tool
zurückziehen	to withdraw
Tabak	the tobacco
Gestalt	1. the form, the shape. 2. the stature, the build. 3. the figure (literature)
Kredit	the credit
umgekehrt	reversed
wertvoll	valuable
bestrafen	to punish
Schweden	Sweden
Rollstuhl	the wheelchair
Metall	the metal
Geschäftsmann	the businessman
unsicher	unsure
verwandt	related
Apfel	the apple
Krach	1. the loud noise, the racket, the din (no plural) 2. the quarrel, the row
Orange	the orange
CD	the compact disc
öffentlich	public
Feuerwehr	the fire brigade
verschieben	to postpone
orange	orange
überqueren	to cross a road
Gramm	the gram (no plural)
umarmen	to embrace
reif	ripe
Schublade	the drawer
Kosmos	the cosmos
verdanken	to owe (+ dat.)
Kneipe	the pub
Konzept	the concept (exact cognate with English)
Bezug	the reference
Schwager	the brother-in-law
fit	fit
Gemüse	the vegetables
insgesamt	altogether
Israel	Israel
exakt	exact
Qualität	the quality
Hinsicht	the respect, the aspect, the regard
Autounfall	the car accident
binden	to tie
vorlesen	to read aloud
gratis	without fee (2)
Einbrecher	the male burglar
versorgen	to supply
bedeckt	overcast (weather)
verteilen	to distribute
Fuchs	the fox
Wolf	the wolf
beurteilen	to assess
parken	to park
Gemeinschaft	the community
dreckig	filthy, dirty
Aufenthalt	the stop, the stay, the residence
heilig	holy
organisieren	to organise
endgültig	final
erweisen	to prove (e.g., true or false)
Praxis	the practice (medical, etc.)
braun	brown
Silber	the silver, (no plural)
weltweit	worldwide
Topf	the pot (as in, e.g., cooking pot, flower pot)
bemerken	to notice
ablehnen	to refuse
Autorität	the authority (the power or right to give orders)
Teenager	the teenager
Konkurrenz	the competition
Babysitter	the babysitter
Maler	the painter
Dose	the can
Fortschritt	the progress
Lastwagen	the lorry, the truck
kräftig	forceful, strong
Tango	the tango
angehen	to concern
Löffel	the spoon
starren	to stare
geeignet	suitable
Schicht	the social class
eventuell	possibly (1)
Burg	the castle (B-)
Wohnwagen	the caravan
Buchhalter	the bookkeeper
angesichts	in view of
gelten	to apply, to be valid, to be considered
Februar	the February (plural rare)
Dampf	the steam
Euro	the euro
lila	purple
Garderobe	the dressing room
Italiener	the male Italian person
Schoß	the lap (of one's legs)
Schweiz	the Switzerland (no plural)
beschweren	to complain (2)
verbreiten	to spread
aussuchen	to pick out
gelb	yellow
plaudern	to chat
stundenlang	for hours
Schere	the scissors
einziehen	to move in
beeinflussen	to influence
streichen	to paint (2)
aufstellen	to deploy
Sprecher	the speaker
doof	stupid (2)
hilflos	helpless
steif	stiff
Wende	the turnabout
italienisch	Italian (adj.)
auflegen	to hang up (the receiver)
gratulieren	to congratulate
hinfahren	to drive there
Auswahl	the choice, the selection
Mangel	the lack
Branche	the branch
mieten	to rent (as a renter)
Beschreibung	the description
brüllen	to yell
schockiert	shocked
Hauptstadt	the captial city
Rekord	the record
Verkäufer	the salesman
eintreten	to enter, to get in
Detail	the detail
beeindrucken	to impress
vorschlagen	to suggest
Strategie	the strategy
hoffnungslos	hopeless
Kommission	the commission
Zeile	the line of text
fotografieren	to photograph
Messe	1. the mass (catholic church service, type of musical composition) 2. the trade fair
frühstücken	to have breakfast
erleichtert	relieved
gestattet	permitted
braten	to roast
Vorhang	the curtain
Braten	the roast meat, the roast
Eintritt	the admission
wandern	to hike
übermorgen	the day after tomorrow
somit	consequently
ermorden	to murder
Torte	the layer cake
Kreditkarte	the credit card
neidisch	jealous (n~)
Analyse	the analysis
beachten	to take into account
Student	the student
Autobahn	the motorway
entgehen	to escape (e.g., notice, punishment), to avoid, to evade
Masse	the crowd
ausführen	to carry out, implement, do
ausschalten	to switch off
aussprechen	to pronounce
Farmer	the farmer (F-)
abschließen	1. to lock up. 2. to conclude
Adler	the eagle
Niederlage	the defeat
Jazz	the jazz (no plural)
Ausrede	the excuse
ernähren	to feed
kühl	cool
verschieden	various, different
ertrinken	to drown
bewundern	to admire
Fähre	the ferry
Zoll	the customs (at an airport)
Venedig	Venice
Stadion	the stadium
spinnen	to be crazy (colloquial)
Schaf	the sheep
Alternative	the alternative
Griechenland	greece
leuchten	to shine, to glow
Löwe	the lion
Zeitschrift	the journal, the periodical, the magazine
Hamburger	the hamburger
Schottland	Scotland
ober	upper
Anschlag	1. the (terrorist) attack 2. the placard 3. the arrestor
feucht	humid (1)
Ober	the (head) waiter
zeichnen	1. to draw. 2. to sign
Tuch	the sheet of cloth, the cloth
abhängig	dependent
segeln	to sail
Becher	the beaker, the cup
arbeitslos	unemployed
beruflich	professionally
verursachen	to cause, to provoke, to generate
Abschnitt	the part
Bezahlung	the payment
Blei	the lead (an element) (no plural)
Lippenstift	the lipstick
Landschaft	the landscape
Hausmeister	the janitor, the caretaker
messen	to measure
Tafel	the blackboard
kreischen	to screech
Bewohner	the inhabitant (of, e.g., a house)
Hobby	the hobby
Venus	the Venus (no plural)
Busch	the bush
Handtasche	the handbag
Tänzer	the dancer
Ingenieur	the male engineer
regelmäßig	regular
Händler	1. the merchant. 2. the stock trader
Union	the union
gewaltig	1. mighty, powerful. 2. enormous
Kamin	the chimey, the fireplace, the hearth
Taschentuch	the handkerchief
Kapelle	the chapel, the band
Note	the mark, the grade, the musical note
Feder	the feather
Kerze	the candle
Zeitalter	the era
präsentieren	to present (exact cognate with English)
sinken	to sink, to drop (e.g., prices)
Ausländer	the foreigner
Wolke	the cloud
bezaubernd	enchanting
einschlafen	to fall asleep
Korea	Korea
Armut	the poverty (no plural)
flach	flat
Lebensmittel	the groceries, the foodstuffs
Seemann	the seaman
bescheiden	modest
produzieren	1. to produce (physical production, such as manufacturing). 2. to make, to generate (e.g., noises; colloquial)
unabhängig	independent, impartial
blond	blonde
Klub	the club (exact cognate with English)
Sängerin	the female singer
Chor	the choir
aufräumen	to clean up
Komödie	the comedy
gelegentlich	occasionally
Einrichtung	1. the institution. 2. the furnishings, the fittings. 3. the facilities
Balkon	the balcony
Abfall	the waste
Ausgabe	1. the expense. 2. the edition, the version
hupen	to hoot
gemäß	according to
entsprechend	in accordance
Einwohner	the inhabitant (of, e.g., a city)
ängstlich	anxious
elegant	elegant
herrschen	to rule
Fahrkarte	the ticket (for public transport)
Kinn	the chin
teilnehmen	to take part
drohen	to threaten
Freizeit	the free time
anschließen	to connect
dreißig	thirty
Lehre	the apprenticeship
Kamm	the comb
vergleichen	to compare
lahm	lame
angemessen	appropriate
international	international
Hörer	1. the (telephone) receiver. 2. the listener (as in a person who listens)
Verletzung	the injury
Verband	the association
Kommunikation	the communication
Chemie	the chemistry (no plural)
männlich	male (adj.)
Abkürzung	the abbreviation (abbr.)
Bestimmung	1. the regulation. 2. the purpose (no plural). 3. the destiny, the calling (no plural)
ausprobieren	to try out
Effekt	the effect (exact cognate with English)
Wechsel	the change
Schrift	the writing
Kassette	the cassette
Zins	the bank interest
Soße	the sauce
Pension	1. the (old-age) pension (for civil servants). 2. the boarding house, small hotel
Beamte	the civil servant
Kasten	the case, the box
Geschlecht	the gender
versichern	to insure
Passagier	the passenger (2)
Feuerwerk	the fireworks
Kurve	the curve
Journalist	the journalist
seither	since then
Bräutigam	the bridegroom
Picknick	the picnic
Klimaanlage	the air conditioning
Börse	the stock market (B-)
schwitzen	to sweat
servieren	to serve (food and drink only)
sorgfältig	with care
Kennzeichen	the label, the distinguishing mark
Russe	the male Russian person
Fotograf	the photographer
Lamm	the lamb
gebildet	educated
Plastik	the plastic (no plural)
Umwelt	the envrironment
Gewitter	the thunderstorm
lauten	to sound
wertlos	worthless
Handschrift	the handwriting
Pflanze	the plant
Nachtisch	the dessert
Luxus	the luxury (no plural)
zögern	to hesitate
fünfzig	fifty
Orchester	the orchestra
gekleidet	dressed
Fach	the field of study, the subject
fließen	to flow
Dokument	the document
Treffpunkt	the meeting place
sentimental	sentimental
Bedürfnis	the need, the necessity
hierfür	(in exchange) for this
anstrengend	strenuous, tiring
kauen	to chew
Kaiserin	the empress
drucken	to print
nachmittags	in the afternoon
Apotheke	the pharmacy
Geige	the violin
Bildung	1. the education 2. the formation
München	Munich
Produzent	the producer
golden	golden
Erziehung	the upbringing (no plural)
BH	the bra
Obst	the fruit (no plural)
Hase	the hare
national	national
anzeigen	1. to report (a crime). 2. to notify, to announce, to advertise. 3. to show
behindert	handicapped, disabled
Notruf	the emergency phone call
Feierabend	the end of the work day
automatisch	automatic
Kritik	the criticism
Senf	the mustard
anderthalb	one and a half (1)
wegwerfen	to throw away
erzeugen	1. to produce (physical, as in manufacturing; abstract, as in producing a feeling). 2. to engender
Weltraum	outer space (no plural)
Supermarkt	the supermarket
arrogant	arrogant
aktivieren	to activate
zumachen	to close (2)
regnen	to rain
Pille	the pill
Nerv	the nerve
Leder	the leather
übersetzen	to translate
Zusammenarbeit	the cooperation (no plural)
online	online
Unterkunft	the accommodation
Vorschrift	the instruction
Reinigung	1. the cleaning, the purification. 2. the dry cleaner's (shop)
scheitern	to fail
Vorname	the given name
Mechaniker	the mechanic
einschalten	1. to switch on. 2. to tune in (e.g., a radio program)  3. to bring in, to call in
vorgestern	the day before yesterday
spannend	exciting
fortsetzen	to continue
Rathaus	the city hall
genügen	to suffice
Provinz	the province
Badewanne	the bathtub
Formel	the formula
Klima	the climate
Uhrzeit	the time of day
Literatur	the literature
technisch	technical
Kaviar	the caviar
Rückseite	the backside
Kreuzung	the crossroads, the junction
stinken	to stink
geistig	intellectual
Handschuh	the glove
Rucksack	the backpack
erraten	to guess
stumm	mute, silent
Drama	the drama
Umgang	1. the social intercourse, contact. (no plural) 2. the handling (no plural)
ursprünglich	originally
Vase	the vase
Schal	the scarf
drängen	to urge
Käufer	the buyer
ideal	ideal
kündigen	to give noticed
Betrag	the amount
Terrorismus	the terrorism (no plural)
gleichgültig	indifferent
Element	the element
Milliarde	the billion
beschuldigen	to blame
körperlich	physical
Seide	the silk
Bildschirm	the monitor, the screen
Notaufnahme	the emergency room (hospital)
theoretisch	theoretical
gestalten	to shape, to design
Strafzettel	the traffic ticket
fünfzehn	fifteen
murmeln	to mutter
sichtbar	visible
Ratschlag	the (piece of) advice
Rechtsanwalt	the male lawyer
gefährden	to endanger
Kellnerin	the waitress
kindisch	childish
